Name der Größe,Max. Remotespeicherdatenträger (Menge),Maximale Bandbreite (Mbps),Lokale SSD (Menge),Max. temporäre Speicherdatenträger (Menge),Spitzenfrequenz für alle Kerne (GHz),SSD Premium-Burst1-IOPS ohne Zwischenspeicherung,Nicht zwischengespeicherter Storage Burst1Speed (MBps),Basis-CPU-Leistung der VM (%)1,SSD Premium-Burstdurchsatz (MB/s)1ohne Zwischenspeicherung,SSD Premium-Datenträger-IOPS ohne Zwischenspeicherung,ReadWrite-Geschwindigkeit (MBit/s) des temporären Datenträgers,Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Zwischenspeicherung,Temporärer Speicher (SSD): GiB,Nicht zwischengespeicherte Speicher-IOPS,Größe der lokalen SSD (GB),Maximaler temporärer Speicherdurchsatz: IOPS/MB/s,Maximalernicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Burstzwischenspeicherung1,Arbeitsspeicher (GiB),Disk Ultra- und SSD Premium v2-Durchsatz ohne Zwischenspeicherung (MB/s),NVMe-Datenträgergröße (TiB),vCPU,Basis-CPU-Frequenz (GHz),Größe des Betriebssystemdatenträgers (GB),Burstdatenträgerdurchsatz ohne Cache: IOPS/MBit/s1,Maximaler Burstdurchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,RDMA-Leistung (GB/s),NVMe-Datenträgergröße (TB),Arbeitsspeicher (GB),Anfängliches Guthaben (Menge),Maximale Netzwerkbandbreite (MB/s),Maximaler Durchsatz bei SSD Premium-Datenträgern ohne Cache: IOPS/MBit/s,Nicht zwischengespeicherter Storage Burst1IOPS,Nicht zwischengespeicherte Datenträgergeschwindigkeit (MBit/s),Disk Ultra- und SSD Premium v2-Durchsatz (MB/s) ohne Burstzwischenspeicherung1,Max. Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,NVMe-Datenträgerdurchsatz (MB/s),Burstdurchsatz für Cache- und temporären Speicher: IOPS/MBit/s1,Temporäre Datenträgergröße (GiB),Maximaler temporärer Speicherdurchsatz: IOPS/MBit/s*,Maximaler SSD Premium-Durchsatz ohne Cache: IOPS/MBit/s,NVMe-Datenträger-IOPS,Nicht zwischengespeicherte Datenträger-IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MB/s,Nicht zwischengespeicherte Speichergeschwindigkeit (MBps),Netzwerkbandbreite,ReadOnly-IOPS des temporären Datenträgers,Nicht zwischengespeicherter Special2Storage IOPS,Temp ReadOnly Storage Speed (MBps),Max. Anzahl Datenträger,vCPUs (Anzahl),Maximaler Burst-Datenträgerdurchsatz ohne Cache: IOPS/MBit/s,Random Read1-Durchsatz (MB/s) des temporären Datenträgers,ReadOnly-Geschwindigkeit (MBit/s) des temporären Datenträgers,Maximaler temporärer Speicherdurchsatz: IOPS/MB/s*,Nicht zwischengespeicherter Special2Storage-Geschwindigkeit (MBps),Temp ReadWrite Storage Speed (MBps),Erwartete ausgehende Netzwerkbandbreite (MBit/s),Arbeitsspeicher der Beschleuniger (GB),Random Read-Durchsatz (MB/s)1des temporären Datenträgers,Größe des temporären Datenträgers (GB),vCPUs (Menge),Max Temp Storage (Menge),Max. Remotespeicher (Menge),Maximaler Durchsatz (Cache und temporärer Speicher): IOPS/MBit/s,Maximaler nicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Max. gebildetes Guthaben (Menge),Nicht zwischengespeicherter Burst1Special2Storage IOPS,Maximalernicht zwischengespeicherterSSD Premium-Durchsatz: IOPS/MBit/s,Speicherbandbreite (GB/s),SSD Premium-Burst-IOPS1ohne Zwischenspeicherung,Maximale Anzahl NICs,Maximaler Durchsatz (temporärer Speicher): IOPS/MBit/s,Memory: GiB,Max. NICs (Anzahl),Beschleuniger (Anzahl),Arbeitsspeicherbandbreite (GB/s),Maximaler Durchsatz des temporären Datenträgers in IOPS/MBit/s,Disk Ultra- und SSD Premium v2-IOPS ohne Zwischenspeicherung,Temp ReadWrite Storage IOPS,Random Write1-Durchsatz (MB/s) des temporären Datenträgers,SSD Premium-Burst1-Durchsatz ohne Zwischenspeicherung (MB/s),Max. Bandbreite (MBit/s),Random Write (RW) des temporären Datenträgers1– IOPS,Maximaler Burst nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBit/s,RAM (GiB),Temp ReadOnly Storage IOPS,Temporäre Speichergröße (GiB),ReadWrite-IOPS des temporären Datenträgers,EPC-Arbeitsspeicher (GiB),SSD Premium-Burst1Durchsatz ohne Zwischenspeicherung (MB/s),Spitzenfrequenz für Einzelkern (GHz),SSD Premium-Durchsatz (MB/s) ohne Zwischenspeicherung,Kerne (Anzahl),Random Read (RR) des temporären Datenträgers1– IOPS,Maximaler Durchsatz des Datenträgers ohne Cache: IOPS/MBit/s,Guthabenbildung/Stunde (Menge),EPC-Speicher (MiB),Nicht zwischengespeicherte Burst1Special Storage-Geschwindigkeit (MBps),SSD Premium-Durchsatz ohne Zwischenspeicherung (MB/s),Maximale Netzwerkbandbreite (MBit/s),Maximaler nicht zwischengespeicherter Disk Ultra- und SSD Premium V2-Datenträgerdurchsatz: IOPS/MBps,Max. NVMe-Datenträger (Anzahl)
Standard_B2ts_v2,4,,,,,10.000,,20%,,3750,,,,,,,,,,,,,,,,,,,1,60,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,576,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,24,,,85,6250,,
Standard_B2ls_v2,4,,,,,10.000,,30 %,,3750,,,,,,,,,,,,,,,,,,,4,60,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,864,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,36,,,85,6250,,
Standard_B2s_v2,4,,,,,10.000,,40%,,3750,,,,,,,,,,,,,,,,,,,8,60,,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1152,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,48,,,85,6250,,
Standard_B4ls_v2,8,,,,,20.000,,30 %,,6\.400,,,,,,,,,,,,,,,,,,,8,120,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1728,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,72,,,145,6250,,
Standard_B4s_v2,8,,,,,20.000,,40%,,6\.400,,,,,,,,,,,,,,,,,,,16,120,,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2304,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,96,,,145,6250,,
Standard_B8ls_v2,16,,,,,20.000,,30 %,,12.800,,,,,,,,,,,,,,,,,,,16,240,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3456,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,144,,,290,6250,,
Standard_B8s_v2,16,,,,,20.000,,40%,,12.800,,,,,,,,,,,,,,,,,,,32,240,,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4608,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,192,,,290,6250,,
Standard_B16ls_v2,32,,,,,40.000,,30 %,,25.600,,,,,,,,,,,,,,,,,,,32,480,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,6912,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,288,,,600,6250,,
Standard_B16s_v2,32,,,,,40.000,,40%,,25.600,,,,,,,,,,,,,,,,,,,64,480,,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,9216,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,384,,,600,6250,,
Standard_B32ls_v2,32,,,,,80.000,,30 %,,51.200,,,,,,,,,,,,,,,,,,,64,960,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,13824,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,576,,,600,6250,,
Standard_B32s_v2,32,,,,,80.000,,40%,,51.200,,,,,,,,,,,,,,,,,,,128,960,,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,18432,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,768,,,600,6250,,
Standard_B2ats_v2,4,,,,,10.000,,20%,,3750,,,,,,,,,,,,,,,,,,,1,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,576,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,24,,,85,,,
Standard_B2als_v2,4,,,,,10.000,,30 %,,3750,,,,,,,,,,,,,,,,,,,4,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,864,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,36,,,85,,,
Standard_B2as_v2,4,,,,,10.000,,40%,,3750,,,,,,,,,,,,,,,,,,,8,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1152,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,48,,,85,,,
Standard_B4als_v2,8,,,,,20.000,,30 %,,6\.400,,,,,,,,,,,,,,,,,,,8,120,6250,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1728,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,72,,,145,,,
Standard_B4as_v2,8,,,,,20.000,,40%,,6\.400,,,,,,,,,,,,,,,,,,,16,120,6250,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2304,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,96,,,145,,,
Standard_B8als_v2,16,,,,,20.000,,30 %,,12.800,,,,,,,,,,,,,,,,,,,16,240,6250,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3456,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,144,,,290,,,
Standard_B8as_v2,16,,,,,20.000,,40%,,12.800,,,,,,,,,,,,,,,,,,,32,240,6250,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4608,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,192,,,290,,,
Standard_B16als_v2,32,,,,,40.000,,30 %,,25.600,,,,,,,,,,,,,,,,,,,32,480,6250,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,6912,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,288,,,600,,,
Standard_B16as_v2,32,,,,,40.000,,40%,,25.600,,,,,,,,,,,,,,,,,,,64,480,6250,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,9216,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,384,,,600,,,
Standard_B32als_v2,32,,,,,80.000,,30 %,,25.600,,,,,,,,,,,,,,,,,,,64,960,6250,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,13824,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,576,,,600,,,
Standard_B32as_v2,32,,,,,80.000,,40%,,25.600,,,,,,,,,,,,,,,,,,,128,960,6250,,,,,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,18432,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,768,,,600,,,
Standard_B2pts_v2,4,,,,,10.000,,20%,,3750,,,,,,,,,,,,,,,,,,,1,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,576,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,24,,,85,,,
Standard_B2pls_v2,4,,,,,10.000,,30 %,,3750,,,,,,,,,,,,,,,,,,,4,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,864,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,36,,,85,,,
Standard_B2ps_v2,4,,,,,10.000,,40%,,3750,,,,,,,,,,,,,,,,,,,8,60,6250,,,,,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,1152,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,48,,,85,,,
Standard_B4pls_v2,8,,,,,20.000,,30 %,,6\.400,,,,,,,,,,,,,,,,,,,8,120,6250,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,1728,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,72,,,145,,,
Standard_B4ps_v2,8,,,,,20.000,,40%,,6\.400,,,,,,,,,,,,,,,,,,,16,120,6250,,,,,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,2304,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,96,,,145,,,
Standard_B8pls_v2,16,,,,,20.000,,30 %,,12.800,,,,,,,,,,,,,,,,,,,16,240,6250,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,3456,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,144,,,290,,,
Standard_B8ps_v2,16,,,,,20.000,,40%,,12.800,,,,,,,,,,,,,,,,,,,32,240,6250,,,,,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,4608,,,,,,,,2,,,,,,,960,,,,,,,,,,,,,,,192,,,290,,,
Standard_B16pls_v2,32,,,,,40.000,,30 %,,25.600,,,,,,,,,,,,,,,,,,,32,480,6250,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,6912,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,288,,,600,,,
Standard_B16ps_v2,32,,,,,40.000,,40%,,25.600,,,,,,,,,,,,,,,,,,,64,480,6250,,,,,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,9216,,,,,,,,4,,,,,,,960,,,,,,,,,,,,,,,384,,,600,,,
Standard_D2s_v6,8,,,,,40.000,,,,3750,,,,,,,,44.444,,124,,,,,,,,,8,,12500,,,,1.463,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,2,,,,4167,,,1250,,,,,,,,,,,,,,,,,,106,,,
Standard_D4s_v6,12,,,,,40.000,,,,6400,,,,,,,,52.083,,248,,,,,,,,,16,,12500,,,,1.463,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,2,,,,8333,,,1250,,,,,,,,,,,,,,,,,,212,,,
Standard_D8s_v6,24,,,,,40.000,,,,12800,,,,,,,,52.083,,496,,,,,,,,,32,,12500,,,,1.463,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,,,,,4,,,,16.667,,,1250,,,,,,,,,,,,,,,,,,424,,,
Standard_D16s_v6,48,,,,,40.000,,,,25600,,,,,,,,52.083,,992,,,,,,,,,64,,12500,,,,1.463,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,,,,,8,,,,33.333,,,1250,,,,,,,,,,,,,,,,,,848,,,
Standard_D32s_v6,64,,,,,80.000,,,,51.200,,,,,,,,104.167,,1984,,,,,,,,,128,,16000,,,,1984,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,,,,,8,,,,66.667,,,16 %,,,,,,,,,,,,,,,,,,16 %,,,
Standard_D48s_v6,64,,,,,80.000,,,,76800,,,,,,,,104.167,,2976,,,,,,,,,192,,24.000,,,,2976,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,,,,,8,,,,100.000,,,2544,,,,,,,,,,,,,,,,,,2544,,,
Standard_D64s_v6,64,,,,,102400,,,,102400,,,,,,,,133.333,,3969,,,,,,,,,256,,30.000,,,,3969,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,,,,,8,,,,133.333,,,3392,,,,,,,,,,,,,,,,,,3392,,,
Standard_D96s_v6,64,,,,,153600,,,,153600,,,,,,,,200000,,5953,,,,,,,,,384,,41000,,,,5953,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,,,,,8,,,,200000,,,5088,,,,,,,,,,,,,,,,,,5088,,,
Standard_D128s_v6,64,,,,,204800,,,,204800,,,,,,,,266.667,,7935,,,,,,,,,512,,54000,,,,7935,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,,,,,8,,,,266.667,,,6.782,,,,,,,,,,,,,,,,,,6.782,,,
Standard_D2ds_v6,8,,,1,,40.000,,,,3750,,,,,,,,44.444,,124,,,,,,,,,8,,12500,,,,1.463,,,,,110,,,,,,,,,,,,2,,180,,,,,,,,,,,,,,,,,,,,,,2,,,,4167,,90,1250,,15000,,,,,,,,,,,37500,,,,,106,,,
Standard_D4ds_v6,12,,,1,,40.000,,,,6400,,,,,,,,52.083,,248,,,,,,,,,16,,12500,,,,1.463,,,,,220,,,,,,,,,,,,4,,360,,,,,,,,,,,,,,,,,,,,,,2,,,,8333,,180,1250,,30.000,,,,,,,,,,,75.000,,,,,212,,,
Standard_D8ds_v6,24,,,1,,40.000,,,,12800,,,,,,,,52.083,,496,,,,,,,,,32,,12500,,,,1.463,,,,,440,,,,,,,,,,,,8,,720,,,,,,,,,,,,,,,,,,,,,,4,,,,16.667,,360,1250,,60000,,,,,,,,,,,150000,,,,,424,,,
Standard_D16ds_v6,48,,,2,,40.000,,,,25600,,,,,,,,52.083,,992,,,,,,,,,64,,12500,,,,1.463,,,,,440,,,,,,,,,,,,16,,1440,,,,,,,,,,,,,,,,,,,,,,8,,,,33.333,,720,1250,,120000,,,,,,,,,,,300000,,,,,848,,,
Standard_D32ds_v6,64,,,4,,80.000,,,,51.200,,,,,,,,104.167,,1984,,,,,,,,,128,,16000,,,,1984,,,,,440,,,,,,,,,,,,32,,2880,,,,,,,,,,,,,,,,,,,,,,8,,,,66.667,,1440,16 %,,240000,,,,,,,,,,,600000,,,,,16 %,,,
Standard_D48ds_v6,64,,,6,,80.000,,,,76800,,,,,,,,104.167,,2976,,,,,,,,,192,,24.000,,,,2976,,,,,440,,,,,,,,,,,,48,,4320,,,,,,,,,,,,,,,,,,,,,,8,,,,100.000,,2160,2544,,360000,,,,,,,,,,,900000,,,,,2544,,,
Standard_D64ds_v6,64,,,4,,102400,,,,102400,,,,,,,,133.333,,3969,,,,,,,,,256,,30.000,,,,3969,,,,,880,,,,,,,,,,,,64,,5760,,,,,,,,,,,,,,,,,,,,,,8,,,,133.333,,2880,3392,,480000,,,,,,,,,,,1200000,,,,,3392,,,
Standard_D96ds_v6,64,,,6,,153600,,,,153600,,,,,,,,200000,,5953,,,,,,,,,384,,41000,,,,5953,,,,,880,,,,,,,,,,,,96,,8640,,,,,,,,,,,,,,,,,,,,,,8,,,,200000,,4320,5088,,720000,,,,,,,,,,,1800000,,,,,5088,,,
Standard_D128ds_v6,64,,,4,,204800,,,,204800,,,,,,,,266.667,,7935,,,,,,,,,512,,54000,,,,7935,,,,,1760,,,,,,,,,,,,128,,11.520,,,,,,,,,,,,,,,,,,,,,,8,,,,266.667,,5760,6.782,,960000,,,,,,,,,,,2400000,,,,,6.782,,,
Standard_D2ls_v6,8,,,,,,,,1250,3750,,124,,,,,,44.444,,,,,,,,,,,4,,,,,,1.463,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,40.000,,,,2,,,,4167,,,,,,,,,,,,,,106,,,,,,,,12500,,
Standard_D4ls_v6,12,,,,,,,,1250,6400,,248,,,,,,52.083,,,,,,,,,,,8,,,,,,1.463,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,40.000,,,,2,,,,8333,,,,,,,,,,,,,,212,,,,,,,,12500,,
Standard_D8ls_v6,24,,,,,,,,1250,12800,,496,,,,,,52.083,,,,,,,,,,,16,,,,,,1.463,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,40.000,,,,4,,,,16.667,,,,,,,,,,,,,,424,,,,,,,,12500,,
Standard_D16ls_v6,48,,,,,,,,1250,25600,,992,,,,,,52.083,,,,,,,,,,,32,,,,,,1.463,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,40.000,,,,8,,,,33.333,,,,,,,,,,,,,,848,,,,,,,,12500,,
Standard_D32ls_v6,64,,,,,,,,16 %,51.200,,1984,,,,,,104.167,,,,,,,,,,,64,,,,,,1984,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,66.667,,,,,,,,,,,,,,16 %,,,,,,,,16000,,
Standard_D48ls_v6,64,,,,,,,,2544,76800,,2976,,,,,,104.167,,,,,,,,,,,96,,,,,,2976,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,100.000,,,,,,,,,,,,,,2544,,,,,,,,24.000,,
Standard_D64ls_v6,64,,,,,,,,3392,102400,,3969,,,,,,133.333,,,,,,,,,,,128,,,,,,3969,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,102400,,,,8,,,,133.333,,,,,,,,,,,,,,3392,,,,,,,,30.000,,
Standard_D96ls_v6,64,,,,,,,,5088,153600,,5953,,,,,,200000,,,,,,,,,,,192,,,,,,5953,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,153600,,,,8,,,,200000,,,,,,,,,,,,,,5088,,,,,,,,41000,,
Standard_D128ls_v6,64,,,,,,,,6.782,204800,,7935,,,,,,266.667,,,,,,,,,,,256,,,,,,7935,,,,,,,,,,,,,,,,,128,,,,,,,,,,,,,,,,,,,,204800,,,,8,,,,266.667,,,,,,,,,,,,,,6.782,,,,,,,,54000,,
Standard_D2lds_v6,8,,,1,,40.000,,,,3750,,,,,,,,44.444,,124,,,,,,,,,4,,12500,,,,1.463,,,,,110,,,,,,,,,,,,2,,180,,,,,,,,,,,,,,,,,,,,,,2,,,,4167,,90,1250,,15000,,,,,,,,,,,37500,,,,,106,,,
Standard_D4lds_v6,12,,,1,,40.000,,,,6400,,,,,,,,52.083,,248,,,,,,,,,8,,12500,,,,1.463,,,,,220,,,,,,,,,,,,4,,360,,,,,,,,,,,,,,,,,,,,,,2,,,,8333,,180,1250,,30.000,,,,,,,,,,,75.000,,,,,212,,,
Standard_D8lds_v6,24,,,1,,40.000,,,,12800,,,,,,,,52.083,,496,,,,,,,,,16,,12500,,,,1.463,,,,,440,,,,,,,,,,,,8,,720,,,,,,,,,,,,,,,,,,,,,,4,,,,16.667,,360,1250,,60000,,,,,,,,,,,150000,,,,,424,,,
Standard_D16lds_v6,48,,,2,,40.000,,,,25600,,,,,,,,52.083,,992,,,,,,,,,32,,12500,,,,1.463,,,,,440,,,,,,,,,,,,16,,1440,,,,,,,,,,,,,,,,,,,,,,8,,,,33.333,,720,1250,,120000,,,,,,,,,,,300000,,,,,848,,,
Standard_D32lds_v6,64,,,4,,80.000,,,,51.200,,,,,,,,104.167,,1984,,,,,,,,,64,,16000,,,,1984,,,,,440,,,,,,,,,,,,32,,2880,,,,,,,,,,,,,,,,,,,,,,8,,,,66.667,,1440,16 %,,240000,,,,,,,,,,,600000,,,,,16 %,,,
Standard_D48lds_v6,64,,,6,,80.000,,,,76800,,,,,,,,104.167,,2976,,,,,,,,,96,,24.000,,,,2976,,,,,440,,,,,,,,,,,,48,,4320,,,,,,,,,,,,,,,,,,,,,,8,,,,100.000,,2160,2544,,360000,,,,,,,,,,,900000,,,,,2544,,,
Standard_D64lds_v6,64,,,4,,102400,,,,102400,,,,,,,,133.333,,3969,,,,,,,,,128,,30.000,,,,3969,,,,,880,,,,,,,,,,,,64,,5760,,,,,,,,,,,,,,,,,,,,,,8,,,,133.333,,2880,3392,,480000,,,,,,,,,,,1200000,,,,,3392,,,
Standard_D96lds_v6,64,,,6,,153600,,,,153600,,,,,,,,200000,,5953,,,,,,,,,192,,41000,,,,5953,,,,,880,,,,,,,,,,,,96,,8640,,,,,,,,,,,,,,,,,,,,,,8,,,,200000,,4320,5088,,720000,,,,,,,,,,,1800000,,,,,5088,,,
Standard_D128lds_v6,64,,,4,,204800,,,,204800,,,,,,,,266.667,,7935,,,,,,,,,256,,54000,,,,7935,,,,,1760,,,,,,,,,,,,128,,11.520,,,,,,,,,,,,,,,,,,,,,,8,,,,266.667,,5760,6.782,,960000,,,,,,,,,,,2400000,,,,,6.782,,,
Standard_D2as_v6,4,,,,,,,,1250,4000,,90,,,,,,20000,,,,,,,,,,,8,,12500,,,,1250,,,,,,,,,,,,,,,,,2,,,,,,,,,,,,,,,,,,,,20000,,,,2,,,,4000,,,,,,,,,,,,,,90,,,,,,,,,,
Standard_D4as_v6,8,,,,,,,,1250,7600,,180,,,,,,20000,,,,,,,,,,,16,,12500,,,,1250,,,,,,,,,,,,,,,,,4,,,,,,,,,,,,,,,,,,,,20000,,,,2,,,,7600,,,,,,,,,,,,,,180,,,,,,,,,,
Standard_D8as_v6,16,,,,,,,,1250,15200,,360,,,,,,20000,,,,,,,,,,,32,,12500,,,,1250,,,,,,,,,,,,,,,,,8,,,,,,,,,,,,,,,,,,,,20000,,,,4,,,,15200,,,,,,,,,,,,,,360,,,,,,,,,,
Standard_D16as_v6,32,,,,,,,,1250,30400,,720,,,,,,40.000,,,,,,,,,,,64,,16000,,,,1250,,,,,,,,,,,,,,,,,16,,,,,,,,,,,,,,,,,,,,40.000,,,,8,,,,30400,,,,,,,,,,,,,,720,,,,,,,,,,
Standard_D32as_v6,32,,,,,,,,1.700,57.600,,1440,,,,,,80.000,,,,,,,,,,,128,,20000,,,,1.700,,,,,,,,,,,,,,,,,32,,,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,57.600,,,,,,,,,,,,,,1440,,,,,,,,,,
Standard_D48as_v6,32,,,,,,,,2550,86400,,2160,,,,,,90000,,,,,,,,,,,192,,28000,,,,2550,,,,,,,,,,,,,,,,,48,,,,,,,,,,,,,,,,,,,,90000,,,,8,,,,86400,,,,,,,,,,,,,,2160,,,,,,,,,,
Standard_D64as_v6,32,,,,,,,,3400,115.200,,2880,,,,,,120000,,,,,,,,,,,256,,36000,,,,3400,,,,,,,,,,,,,,,,,64,,,,,,,,,,,,,,,,,,,,120000,,,,8,,,,115.200,,,,,,,,,,,,,,2880,,,,,,,,,,
Standard_D96as_v6,32,,,,,,,,5090,175.000,,4320,,,,,,175.000,,,,,,,,,,,384,,40.000,,,,5090,,,,,,,,,,,,,,,,,96,,,,,,,,,,,,,,,,,,,,175.000,,,,8,,,,175.000,,,,,,,,,,,,,,4320,,,,,,,,,,
Standard_D2ads_v6,4,,,1,,,,,1250,4000,,90,,,,,,20000,,,,,,,,,,,8,,12500,,,,1250,,,,,110,,,,,,,,,,,,2,,180,,,,,,,,,,,,,,,,,,20000,,,,2,,,,4000,,,,,,,,,,,,,,90,,37500,,,,,,,,
Standard_D4ads_v6,8,,,1,,,,,1250,7600,,180,,,,,,20000,,,,,,,,,,,16,,12500,,,,1250,,,,,220,,,,,,,,,,,,4,,360,,,,,,,,,,,,,,,,,,20000,,,,2,,,,7600,,,,,,,,,,,,,,180,,75.000,,,,,,,,
Standard_D8ads_v6,16,,,1,,,,,1250,15200,,360,,,,,,20000,,,,,,,,,,,32,,12500,,,,1250,,,,,440,,,,,,,,,,,,8,,720,,,,,,,,,,,,,,,,,,20000,,,,4,,,,15200,,,,,,,,,,,,,,360,,150000,,,,,,,,
Standard_D16ads_v6,32,,,2,,,,,1250,30400,,720,,,,,,40.000,,,,,,,,,,,64,,16000,,,,1250,,,,,440,,,,,,,,,,,,16,,1440,,,,,,,,,,,,,,,,,,40.000,,,,8,,,,30400,,,,,,,,,,,,,,720,,300000,,,,,,,,
Standard_D32ads_v6,32,,,4,,,,,1.700,57.600,,1440,,,,,,80.000,,,,,,,,,,,128,,20000,,,,1.700,,,,,440,,,,,,,,,,,,32,,2880,,,,,,,,,,,,,,,,,,80.000,,,,8,,,,57.600,,,,,,,,,,,,,,1440,,600000,,,,,,,,
